D_ID,DIRECTOR
749,Joseph Kahn
750,Jeff Wadlow
751,Robert Ben Garant
752,Michael Katleman
753,Yorgos Lanthimos
754,Chris Renaud
755,Asger Leth
756,Lisa Azuelos
757,William Eubank
758,Ari Sandel
759,Jeffrey Blitz
760,Kevin Connolly
761,Stacie Passon
762,Carol Morley
763,Emma Tammi
764,Lars Klevberg
765,Joanna Hogg
766,Frant Gwo
767,Lucio Castro
768,Tony Chan
769,Jung Da-Won
770,Sidney Poitier
771,Ken Russell
772,Stuart Rosenberg
773,Bruce Beresford
774,Harold Becker
775,Billy Wilder
776,Sylvester Stallone
777,Paul Lynch
778,Hal Needham
779,John Hough
780,James Goldstone
781,Steve Miner
782,Jim Henson
783,James Ivory
784,Ken Hughes
785,Jack Fisk
786,David Steinberg
787,Steven Lisberger
788,Buck Henry
789,Desmond Davis
790,David Cronenberg
791,Matthew Robbins
792,Peter Hyams
793,Martin Ritt
794,George Roy Hill
795,Ron Howard
796,Albert Pyun
797,Tim Hunter
798,Jean-Claude Lord
799,James Fargo
800,John Herzfeld
801,Luigi Cozzi
802,Alan Johnson
803,John Mackenzie
804,William Olsen
805,Donald Shebib
806,Tom Logan
807,Hugh Wilson
808,Martin Brest
809,Rob Reiner
810,W.D. Richter
811,Stephen Frears
812,Joel Silberg
813,Marvin J. Chomsky
814,John C. Broderick
815,Éric Rohmer
816,Gillian Armstrong
817,Paolo Taviani
818,Rob Cohen
819,Bobby Roth
820,Roy Battersby
821,Dan O'Bannon
822,Andrey Konchalovskiy
823,Geoff Murphy
824,Jûzô Itami
825,Neal Israel
826,Douglas Cheek
827,Danny Steinmann
828,Mike Hodges
829,Phillip Borsos
830,Edward Yang
831,Emir Kusturica
832,Arna Selznick
833,Harvey Miller
834,István Szabó
835,Penny Marshall
836,David Beaird
837,Bob Weinstein
838,Simon Langton
839,Jerrold Freedman
840,Joe Roth
841,Michael Gornick
842,John R. Cherry III
843,Ethan Wiley
844,Dennis Feldman
845,Mary Lambert
846,Charlie Loventhal
847,Stephen Carpenter
848,Peter Del Monte
849,Giuseppe Tornatore
850,Anthony Hickox
851,Yahoo Serious
852,Mike Leigh
853,Christopher Crowe
854,Martin Donovan
855,Joe Johnston
856,Gary David Goldberg
857,Dave Thomas
858,Kevin Costner
859,Andrew Bergman
860,Jean-Paul Rappeneau
861,Adam Simon
862,Chuck Russell
863,Terry Leonard
864,John Waters
865,Bruno Nuytten
866,Robert Englund
867,Uli Edel
868,Christopher Guest
869,Sally Mattison
870,Michael Verhoeven
871,Ate de Jong
872,Stephen Poliakoff
873,Burt Kennedy
874,Jerry Rees
875,Todd Haynes
876,Frank De Felitta
877,Fran Rubel Kuzui
878,Phil Roman
879,Geoffrey Wright
880,Tom Kalin
881,Gregg Araki
882,Neal Jimenez
883,Charlie Peters
884,Jacques Dorfmann
885,David Mickey Evans
886,Marco Brambilla
887,Andrew Birkin
888,Woo-Ping Yuen
889,Mikael Salomon
890,E. Max Frye
891,John Madden
892,Warren Leight
893,Alex Proyas
894,Kim Henkel
895,Pixote Hunt
896,Jeff Pollack
897,Alek Keshishian
898,Adam Rifkin
899,Michele Soavi
900,Antonia Bird
901,Paul W.S. Anderson
902,Betty Thomas
903,Robert Longo
904,Steve Oedekerk
905,Andy Tennant
906,Patricia Rozema
907,Michelangelo Antonioni
908,Paul Auster
909,Douglas McGrath
910,Hettie Macdonald
911,Greg Mottola
912,Jay Roach
913,Satoshi Kon
914,Bob Spiers
915,Lance Young
916,Kiyoshi Kurosawa
917,Andy Cadiff
918,Bob Koherr
919,William Nicholson
920,Frank Coraci
921,Darren Aronofsky
922,Vincent Gallo
923,Lance Mungia
924,Sarah Kernochan
925,Tamara Jenkins
926,Nicole Garcia
927,John Schultz
928,Chris Roberts
929,Peter Kassovitz
930,Scott Elliott
931,Alison Maclean
932,Todd Phillips
933,Peter Lord
934,Christopher McQuarrie
935,Britt Allcroft
936,David Raynr
937,Michael Almereyda
938,François Ozon
939,Joel Hershman
940,Davis Guggenheim
941,João Pedro Rodrigues
942,Guillermo del Toro
943,Gregory Nava
944,Gregory Hoblit
945,Susan Streitfeld
946,Dan Ireland
947,Bill Bennett
948,James F. Robinson
949,Gary Ross
950,Bob Saget
951,Damon Santostefano
952,Lloyd Kaufman
953,John Fawcett
954,Joe Charbanic
955,Joel Gallen
956,Brendan Malloy
957,Todd Field
958,Stephen Chow
959,Tommy O'Haver
960,Éva Gárdos
961,Farhan Akhtar
962,Paddy Breathnach
963,Tim Blake Nelson
964,Nicole Holofcener
965,Rob Pritts
966,Jacques Audiard
967,Chuck Sheetz
968,Jean-Claude Brisseau
969,Jonas Åkerlund
970,Jesse Vaughan
971,Kevin Donovan
972,John Polson
973,Takashi Shimizu
974,Peter Hastings
975,Catherine Hardwicke
976,Peter Webber
977,Aaron Blaise
978,Bille Woodruff
979,Patrick Gilmore
980,Prachya Pinkaew
981,Bruno Barreto
982,David Mackenzie
983,Fenton Bailey
984,Chris Rock
985,Jonathan Hensleigh
986,Gary Winick
987,Ethan Coen
988,Terry George
989,Jacob Estes
990,Laurence Dunmore
991,Christophe Honoré
992,Judd Apatow
993,Neil Marshall
994,Shane Black
995,Darren Lynn Bousman
996,Darren Grant
997,Miranda July
998,Gary Chapman
