M_ID,NAME
1119,Full Metal Jacket
1120,Predator
1121,Near Dark
1122,Black Widow
1123,The Living Daylights
1124,Over the Top
1125,Wings of Desire
1126,The Gate
1127,Barfly
1128,Blind Date
1129,The Believers
1130,House of Games
1131,Assassination
1132,Someone to Watch Over Me
1133,Suspect
1134,Hunk
1135,Critical Condition
1136,The Big Town
1137,The Curse
1138,Prick Up Your Ears
1139,Slam Dance
1140,Siesta
1141,Five Corners
1142,The Squeeze
1143,Shy People
1144,Who Framed Roger Rabbit
1145,Akira
1146,The Great Outdoors
1147,Married to the Mob
1148,Bull Durham
1149,Two Moon Junction
1150,A Nightmare on Elm Street 4: The Dream Master
1151,Elvira: Mistress of the Dark
1152,The Dead Pool
1153,Police Academy 5: Assignment: Miami Beach
1154,Shag
1155,Poltergeist III
1156,As Tears Go By
1157,Phantasm II
1158,Miracle Mile
1159,The Milagro Beanfield War
1160,Casual Sex?
1161,Braddock: Missing in Action III
1162,Drowning by Numbers
1163,Iron Eagle II
1164,Illegally Yours
1165,Pet Sematary
1166,Shirley Valentine
1167,Harlem Nights
1168,Warlock
1169,Casualties of War
1170,Star Trek V: The Final Frontier
1171,All Dogs Go to Heaven
1172,Always
1173,Halloween 5: The Revenge of Michael Myers
1174,Sea of Love
1175,Henry V
1176,Friday the 13th Part VIII: Jason Takes Manhattan
1177,Shocker
1178,The Fly II
1179,Communion
1180,Crimes and Misdemeanors
1181,Three Fugitives
1182,Robot Jox
1183,No Holds Barred
1184,Eddie and the Cruisers II: Eddie Lives!
1185,Longtime Companion
1186,The Tall Guy
1187,My Twentieth Century
1188,Edge of Sanity
1189,Staying Together
1190,Romero
1191,84C MoPic
1192,Crack House
1193,Ghost
1194,Tremors
1195,Wild at Heart
1196,Darkman
1197,Lord of the Flies
1198,Nikita
1199,Flatliners
1200,The Exorcist III
1201,Quigley Down Under
1202,Almost an Angel
1203,Everybody Wins
1204,Truly Madly Deeply
1205,Repossessed
1206,Alice
1207,The First Power
1208,Betty Blue
1209,Crimes of the Heart
1210,Hellraiser
1211,Dragnet
1212,House II: the Second Story
1213,Leonard Part 6
1214,Nadine
1215,Cyclone
1216,Waxwork
1217,Paperhouse
1218,Cop
1219,Dead Poets Society
1220,Back to the Future Part II
1221,Lethal Weapon 2
1222,UHF
1223,Black Rain
1224,She's Out of Control
1225,Her Alibi
1226,Jacknife
1227,Out Cold
1228,Lost Angels
1229,The NeverEnding Story II: The Next Chapter
1230,Reversal of Fortune
1231,Mr. Destiny
1232,The Freshman
1233,Cadillac Man
1234,Ernest Goes to Jail
1235,Stanley & Iris
1236,Wish You Were Here
1237,Tap
1238,Book of Love
1239,Spaced Invaders
1240,Where the Heart Is
1241,The Garden
1242,The Last of the Finest
1243,Funny About Love
1244,Coupe de Ville
1245,The Haunting of Morella
1246,Point Break
1247,Beauty and the Beast
1248,The Fisher King
1249,Sleeping with the Enemy
1250,Star Trek VI: The Undiscovered Country
1251,Drop Dead Fred
1252,Naked Lunch
1253,The Naked Gun 2½: The Smell of Fear
1254,The Man in the Moon
1255,New Jack City
1256,Toy Soldiers
1257,The Lovers on the Bridge
1258,Grand Canyon
1259,Wild Orchid II: Two Shades of Blue
1260,Only the Lonely
1261,Suburban Commando
1262,Operation Condor
1263,Billy Bathgate
1264,Deceived
1265,F/X2
1266,V.I. Warshawski
1267,A Kiss Before Dying
1268,The Hitman
1269,One Good Cop
1270,Madame Bovary
1271,The Object of Beauty
1272,Closet Land
1273,Crooked Hearts
1274,Van Gogh
1275,The Last of the Mohicans
1276,A Few Good Men
1277,Aladdin
1278,The Hand That Rocks the Cradle
1279,Bad Lieutenant
1280,School Ties
1281,"Jamón, Jamón"
1282,Gladiator
1283,Toys
1284,Sidekicks
1285,Innocent Blood
1286,Fortress
1287,Light Sleeper
1288,A Midnight Clear
1289,Where the Day Takes You
1290,Passion Fish
1291,The Playboys
1292,City of Joy
1293,Aces: Iron Eagle III
1294,Tetsuo II: Body Hammer
1295,Map of the Human Heart
1296,Year of the Comet
1297,Dazed and Confused
1298,Naked
1299,Falling Down
1300,The Age of Innocence
1301,The Secret Garden
1302,Cool Runnings
1303,Much Ado About Nothing
1304,Son in Law
1305,Jason Goes to Hell: the Final Friday
1306,Teenage Mutant Ninja Turtles III
1307,Body Snatchers
1308,The Thing Called Love
1309,The House of the Spirits
1310,Judgment Night
1311,Nowhere to Run
1312,King of the Hill
1313,Weekend at Bernie's II
1314,The Thief and the Cobbler
1315,3 Ninjas: Knuckle Up
1316,A Home of Our Own
1317,Blink
1318,Josh and S.A.M.
1319,The Little Rascals
1320,Legends of the Fall
1321,Street Fighter
1322,Chungking Express
1323,"The Adventures of Priscilla, Queen of the Desert"
