S_ID,STAR
813,Peter Liapis
814,Eric Roberts
815,Avtandil Makharadze
816,Gregory Harrison
817,Judd Nelson
818,Gary Busey
819,Danielle Romeo
820,Joyce Hyser
821,Jeff Goldblum
822,Richard Chamberlain
823,Powers Boothe
824,Jennifer Connelly
825,John Cleese
826,Val Kilmer
827,John Lurie
828,Rob Lowe
829,Christopher Lambert
830,Demi Moore
831,Robert Englund
832,Rob Morrow
833,Kevin Costner
834,Barry Otto
835,Jimmy Keegan
836,Barry Jackson
837,Bart Conner
838,Jeff Daniels
839,Gregory Hines
840,Yves Montand
841,Oliver Reed
842,Stephen Lang
843,Diane Franklin
844,Colin Friels
845,Maruschka Detmers
846,John Bolger
847,Lorenzo Quinteros
848,Leo Fong
849,Cary Elwes
850,Anthony Barrile
851,Gaspard Manesse
852,Casey Siemaszko
853,Colin Firth
854,Deborah Winters
855,Julie Walters
856,Brian Dennehy
857,River Phoenix
858,Philippe Noiret
859,Joey Lawrence
860,Amanda Donohoe
861,Pierce Brosnan
862,Sidney Poitier
863,Lukas Haas
864,Justine Bateman
865,Yahoo Serious
866,Cyndi Lauper
867,Greg Evigan
868,Martin Landau
869,Dick Durock
870,Hulk Hogan
871,Jillian McWhirter
872,Andrew Stevens
873,David Bradley
874,Annabella Sciorra
875,Jonathan Brandis
876,Eric Idle
877,Kerry Fox
878,Vincent Price
879,Jennifer Jason Leigh
880,Masatoshi Nagase
881,Bernadette Peters
882,Douglas Barr
883,Philippe Caubère
884,Laura Harring
885,Alice Diabo
886,Nicole Eggert
887,Paige O'Hara
888,Lawrence Ng
889,Julia Roberts
890,Justin Whalin
891,David Morse
892,Mimi Rogers
893,Richard Grieco
894,Robert Carlyle
895,Kevin Anderson
896,Virginia Madsen
897,Stephen Rea
898,Omar Epps
899,Benoît Poelvoorde
900,Penélope Cruz
901,Richard Kind
902,Chingmy Yau
903,Mary McDonnell
904,Mansour Diouf
905,Tomorô Taguchi
906,Julie Kavner
907,Jason James Richter
908,Charlotte Gainsbourg
909,Kevin Conroy
910,Angel Aviles
911,Chris Rock
912,Karina Lombard
913,James Duval
914,Alan Bates
915,Brian O'Halloran
916,Zbigniew Zamachowski
917,Massimo Troisi
918,Duane Martin
919,Tina Majorino
920,Liesel Matthews
921,Josh Hamilton
922,Clarence Williams III
923,Pascale Bussières
924,Matt Frewer
925,Audie England
926,Max Grodénchik
927,Michael Jordan
928,Ewan McGregor
929,Paul Terry
930,Christopher Guest
931,Bruce Ramsay
932,Hope Davis
933,Blake Heron
934,Ellen DeGeneres
935,Michael Jai White
936,Nick Sutton
937,Robin Shou
938,Liv Tyler
939,Mohammad Amir Naji
940,Tenzin Thuthob Tsarong
941,Michael Jeter
942,Judi Dench
943,Stellan Skarsgård
944,Christopher McDonald
945,Lindsay Lohan
946,Tobey Maguire
947,Vincent Gallo
948,Clive Owen
949,Jason Biggs
950,Heath Ledger
951,Sarah Michelle Gellar
952,Rose McGowan
953,Jake Gyllenhaal
954,Milla Jovovich
955,Cecilia Roth
956,Melissa Joan Hart
957,Claire Danes
958,Shawn Hatosy
959,Vanessa Paradis
960,Fred Willard
961,Natalie Portman
962,Mike White
963,Garry Shandling
964,Lisa Lindgren
965,Charlotte Véry
966,Kim Vithana
967,G.W. Bailey
968,David Caruso
969,Heather Matarazzo
970,Molly Parker
971,Ian Bannen
972,Eli Marienthal
973,Lars Rudolph
974,Jane March
975,Naomi Watts
976,Audrey Tautou
977,Paz Vega
978,Angelina Jolie
979,Anaïs Reboux
980,Rachael Leigh Cook
981,Stephen Chow
982,Joseph Gordon-Levitt
983,Ryan Gosling
984,Vinnie Jones
985,Justin Chambers
986,Jennifer Westfeldt
987,Mariah Carey
988,Christopher Gorham
989,Cillian Murphy
990,Alexandre Rodrigues
991,Ryan Reynolds
992,Steve Oedekerk
993,Colin Hanks
994,Angela Bettis
995,Steve Coogan
996,Charlie Hunnam
997,Anna Paquin
998,Connie Nielsen
999,Steve Irwin
1000,Kate Beckinsale
1001,Elias McConnell
1002,Daryl Sabara
1003,Jessica Alba
1004,Jonathan Cherry
1005,Mi-sook Lee
1006,Romola Garai
1007,Zooey Deschanel
1008,Scott Mechlowicz
1009,Daniel Craig
1010,Abbie Cornish
1011,Viggo Mortensen
1012,Yûya Yagira
1013,Kristen Stewart
1014,Keira Knightley
1015,Martin Freeman
1016,Jay Hernandez
1017,Seann William Scott
1018,50 Cent
1019,Navi Rawat
1020,Benjamin Bratt
1021,Agnes Bruckner
1022,Thomas Turgoose
1023,Allen Covert
1024,Sienna Miller
1025,Kristen Bell
1026,Jake T. Austin
1027,Michael Cera
1028,Amy Adams
1029,Lauren Birkell
1030,Rachel Nichols
1031,Anamaria Marinca
1032,Michelle Morgan
1033,Megumi Ogata
1034,Joely Richardson
1035,Columbus Short
1036,Josh Zuckerman
1037,Ray Stevenson
1038,Ayako Fujitani
1039,Sharlto Copley
1040,Quinton Aaron
1041,Eric Christian Olsen
1042,Penn Badgley
1043,Golshifteh Farahani
1044,Alan Van Sprang
1045,Scoot McNairy
1046,Emma Stone
1047,Rajat Barmecha
1048,Jason Momoa
1049,Zoe Saldana
1050,Payman Maadi
1051,Nicholas D'Agosto
1052,Kenny Wormald
1053,Sara Paxton
1054,Lucas Pittaway
1055,John Boyega
1056,Felicity Jones
1057,Colin O'Donoghue
1058,Thomas Horn
1059,Mark Duplass
1060,Jason Sudeikis
1061,Alex Kendrick
1062,Jessica Chastain
1063,Alexander Skarsgård
1064,Suraj Sharma
1065,Domhnall Gleeson
1066,Alexandra Daddario
1067,Marine Vacth
1068,Chadwick Boseman
1069,Alice Englert
1070,Neil Patrick Harris
1071,Bérénice Bejo
1072,Lawrence Michael Levine
1073,Jemaine Clement
1074,Perdita Weeks
1075,Aaron Paul
1076,Anne Dorval
1077,John Lloyd Young
1078,Johannes Kuhnke
1079,Rachel Melvin
1080,Aleksey Serebryakov
1081,Sidse Babett Knudsen
1082,Olivia Cooke
1083,Haluk Bilginer
1084,Lily James
1085,Daisy Ridley
1086,Logan Marshall-Green
1087,Abraham Attah
1088,Jenjira Pongpas
1089,Adam Driver
1090,Morgan Saylor
1091,Lucas Till
1092,Bill Skarsgård
1093,Anthony Gonzalez
1094,Jacob Tremblay
1095,Jessie Buckley
1096,Lesley Manville
1097,Andy Serkis
1098,Kumail Nanjiani
1401,Regina Hall
1402,Josh O'Connor
1403,Demetrius Shipp Jr.
1404,Eugenio Derbez
1405,Jason Drucker
1406,Emily Mortimer
1407,Louis Garrel
1408,Sol Kyung-gu
1409,Samson Coulter
1410,Bella Thorne
1411,Lily Franky
1412,Aldis Hodge
1413,Shay Mitchell
1414,Tika Sumpter
1415,Alia Shawkat
1416,J. Michael Finley
1417,Octavia Spencer
1418,Zoe Margaret Colletti
1419,Dave Bautista
1420,Billy Barratt
1421,Jing Wu
1422,Vijay Varma
1423,Varun Dhawan
1424,Jun Fukuyama
1425,Francesco Di Napoli
1426,Liza Soberano
1427,Billy Hartmann
1428,Shannon Bond
1429,Tracey Ullman
1430,Carmen Electra
1431,Megan Fox
1432,Katie Jarvis
1433,Dominic Cooper
1434,Jared Gilman
1435,Jonny Weston
1436,Farhan Akhtar
1437,Liam Hemsworth
1438,Maika Monroe
1439,Essie Davis
1440,Olivia DeJonge
1441,Jim Parsons
1442,Salman Khan
1443,Aaron Pedersen
1444,Rami Malek
1445,Matilda Anna Ingrid Lutz
1446,T.J. Miller
1447,Kyrie Irving
1448,Donald Glover
1449,Shuzhen Zhao
1450,Jillian Bell
1451,Yara Shahidi
1452,Hanyu Zhang
1453,Miko Hughes
1454,Ben Schwartz
1455,Joanna Kulig
1456,Jo Jung-Suk
1457,Mark Hamill
1458,Betsy Palmer
1459,David Carradine
1460,Peter Boyle
1461,Willie Nelson
1462,Ellen Burstyn
1463,George Burns
1464,Roger Moore
1465,Sam Neill
1466,Bulle Ogier
1467,Ben Kingsley
1468,Bette Davis
1469,Nigel Terry
1470,Andre Gregory
1471,James Cagney
1472,Mews Small
1473,Daniel Valdez
1474,Jacqueline Bisset
1475,William Shatner
1476,Ben Murphy
1477,Cher
1478,Johnny Yune
1479,Leon Isaac Kennedy
1480,Tom Skerritt
1481,Dan Aykroyd
1482,Oleg Yankovskiy
1483,Tom Selleck
1484,Kevin Kline
1485,Mark Gregory
1486,Julie Christie
1487,Martin Sheen
1488,Noah Hathaway
1489,Erich Anderson
1490,Catherine Mary Stewart
1491,Freddie Stuart
1492,Rae Dawn Chong
1493,Bill Paterson
1494,Maggie Smith
1495,William Katt
1496,Nicholas Rowe
1497,Sam Shepard
1498,Rutger Hauer
1499,Rosanna Arquette
1500,Peter Coyote
1501,Wings Hauser
1502,Robert Carradine
1503,Rachel Ward
1504,Guy Marchand
1505,Ken Watanabe
1506,Mia Farrow
1507,Tab Hunter
1508,Sting
1509,Anthony Hopkins
1510,Bettina Bush
1511,John Rhys-Davies
1512,Gala Videnovic
1513,John Gordon Sinclair
1514,Fabienne Babe
1515,Jane Snowden
1516,Isabelle Huppert
1517,Pat Morita
1518,Craig Sheffer
1519,Matthew Labyorteaux
1520,Marie Rivière
1521,Patsy Kensit
1522,Neil Dickson
1523,Mary Tyler Moore
1524,Anouk Aimée
1525,Siobhan Finneran
1526,David Paul
1527,Chris Cooper
1528,Ross Bagdasarian Jr.
1529,Michael E. Knight
1530,Eric Freeman
1531,Ellen Barkin
1532,Bruce Willis
1533,Jean-Claude Van Damme
1534,Steven Seagal
1535,Cathy Podewell
1536,William Ragsdale
1537,Davor Dujmovic
1538,Rubén Blades
1539,Bobcat Goldthwait
1540,Imogen Stubbs
1541,Tony Pierce
1542,Meg Tilly
1543,Corey Feldman
1544,Gary Graham
1545,Ron Fazio
1546,Don Johnson
1547,Tony Todd
1548,Dylan McDermott
1549,Debbie Harry
1550,Jean Rochefort
1551,David Dukes
1552,Derek Jacobi
1553,Jackie Mason
1554,Victoria Abril
1555,Robyn Lively
1556,Juliet Stevenson
1557,Gong Li
1558,Phil Collins
1559,Ed Begley Jr.
1560,Dabney Coleman
1561,Michael Gottli
1562,Kathy Bates
1563,Brian Krause
1564,Brandon Quintin Adams
1565,Marie-Laure Dougnac
1566,Claire Bloom
1567,Sharon Stone
1568,Cora Lee Day
1569,Charles Grodin
1570,Jason London
1571,Danny Elfman
1572,Diedrich Bader
1573,Ernie Reyes Sr.
1574,Hiep Thi Le
1575,Robert Patrick
1576,Alfre Woodard
1577,Jeremy Davies
1578,Chris Elliott
1579,Sean Nelson
1580,Larenz Tate
1581,Alicia Silverstone
1582,Adam Sandler
1583,Natasha Henstridge
1584,Parker Posey
1585,Sergio Castellitto
1586,Virginie Ledoyen
1587,Helen Hunt
1588,Emily Watson
1589,Edward Burns
1590,Colm Meaney
1591,Jennifer Love Hewitt
1592,Eduardo Noriega
1593,Trey Parker
1594,Jennifer Aniston
1595,Angus Macfadyen
1596,Stephen Dillane
1597,Jordana Brewster
1598,Jason Schwartzman
1599,James Marsden
1600,Shah Rukh Khan
1601,Samy Naceri
1602,Kieran Culkin
1603,Joaquin Phoenix
1604,Ron Livingston
1605,James Van Der Beek
1606,Hilary Swank
1607,John Simm
1608,Kevin Clash
1609,Jim Broadbent
1610,John Standing
1611,Jeremy Northam
1612,Gerard Butler
1613,Sadie Frost
1614,Heather Graham
1615,James Stewart
1616,Madeleine Stowe
1617,Renée Zellweger
1618,Ron Perlman
1619,Sinbad
1620,Shar-Ron Corley
1621,Matt Damon
1622,Kel Mitchell
1623,Mira Sorvino
1624,Catherine McCormack
1625,Helen Mirren
